,Id,Appliance,Company,Energy_Consumption_kWh,Materials_Used,Manufacturing_Emissions_kg_CO2e,Transportation_Mode,Distance_Traveled_km,Transportation_Emissions_kg_CO2e,Energy_Efficiency,Water_Consumption_gallons,Energy_Star_Rating,Eco_Friendly_Certificate_1,Eco_Friendly_Certificate_2,Biodegradable_Packaging,Eco_Friendliness
112,113,Bosch Dishwasher,Panasonic,70,"Steel, plastic, glass",545,Ship,954,129,1,10,2,ENERGY STAR Certified,EcoLogo Certified,0,1
113,114,Bosch Dishwasher,Dell,60,"Steel, aluminum",430,Train,1296,400,5,11,4,ENERGY STAR Certified,EcoLogo Certified,1,5
114,115,Bosch Dishwasher,Philips,617,"Steel, aluminum",451,Ship,998,14,4,0,5,EPEAT Certified,EcoLogo Certified,0,5
115,116,Bosch Dishwasher,HP,1404,"Plastic, glass, copper, aluminum",78,Ship,620,233,5,7,4,RoHS Compliant,EcoLogo Certified,1,5
116,117,Bosch Dishwasher,Sony,389,"Steel, plastic, copper, aluminum",399,Truck,846,269,5,7,4,EPEAT Certified,No Certification,1,4
117,118,Bosch Dishwasher,Samsung,60,"Steel, plastic, copper, aluminum",31,Ship,1058,202,5,10,5,Cradle to Cradle Certified,Green Seal Certified,1,4
118,119,Bosch Dishwasher,Generic,949,"Glass, tungsten",648,Truck,160,173,1,0,1,EPEAT Certified,Energy Star Certified,0,1
119,120,Bosch Dishwasher,HP,1002,"Steel, plastic",322,Truck,829,152,5,0,4,No Certification,No Certification,0,2
120,121,Bosch Dishwasher,Panasonic,60,"Plastic, glass, copper, aluminum",127,Airplane,555,64,2,0,4,EPEAT Certified,Energy Star Certified,0,5
121,122,Bosch Dishwasher,HP,60,"Steel, plastic, copper",30,Airplane,2000,386,5,0,4,EPEAT Certified,Energy Star Certified,1,4
122,123,Bosch Dishwasher,Panasonic,60,"Plastic, aluminum",64,Airplane,1667,400,5,0,5,Cradle to Cradle Certified,Energy Star Certified,1,4
123,124,Bosch Dishwasher,Maytag,331,"Steel, plastic, copper, aluminum",308,Train,1315,177,5,7,3,ENERGY STAR Certified,Green Seal Certified,0,4
124,125,Bosch Dishwasher,Generic,159,"Plastic, glass, copper, aluminum",147,Airplane,1571,400,5,0,5,Energy Star Certified,Energy Star Certified,1,5
125,126,Bosch Dishwasher,Sony,60,"Plastic, aluminum",30,Train,796,400,5,7,4,EPEAT Certified,Green Seal Certified,1,5
126,127,Bosch Dishwasher,HP,60,"Steel, plastic, copper",371,Ship,1103,226,5,10,4,RoHS Compliant,Green Seal Certified,1,5
127,128,Bosch Dishwasher,Generic,960,"Steel, plastic",349,Train,287,198,2,9,1,No Certification,EcoLabel Certified,0,3
128,129,Bosch Dishwasher,Philips,89,"Steel, plastic, glass",30,Ship,591,141,4,1,5,No Certification,No Certification,1,5
129,130,Bosch Dishwasher,LG,476,"Plastic, aluminum",30,Ship,1827,400,5,0,4,EcoLogo Certified,Energy Star Certified,1,5
130,131,Bosch Dishwasher,HP,60,"Steel, aluminum",96,Airplane,132,147,2,0,4,No Certification,Energy Star Certified,0,2
131,132,Bosch Dishwasher,Maytag,430,"Steel, plastic, copper, aluminum",375,Train,1026,223,5,11,4,ENERGY STAR Certified,EcoLogo Certified,1,4
132,133,Bosch Dishwasher,Whirlpool,60,"Plastic, aluminum",41,Train,753,400,5,10,4,ENERGY STAR Certified,Green Seal Certified,1,4
133,134,Bosch Dishwasher,Bosch,761,"Steel, aluminum",120,Truck,161,125,5,0,3,ENERGY STAR Certified,No Certification,0,2
134,135,Bosch Dishwasher,Panasonic,408,"Steel, plastic, glass",338,Train,850,400,4,14,4,Cradle to Cradle Certified,EcoLogo Certified,1,4
135,136,Bosch Dishwasher,Generic,644,"Steel, plastic",377,Truck,145,243,3,0,2,Energy Star Certified,No Certification,0,2
136,137,Bosch Dishwasher,HP,467,"Steel, aluminum",419,Truck,1226,179,4,0,4,ENERGY STAR Certified,Energy Star Certified,1,5
137,138,Bosch Dishwasher,Maytag,60,"Steel, plastic, copper, aluminum",105,Ship,985,283,5,0,5,No Certification,Energy Star Certified,1,4
138,139,Bosch Dishwasher,Generic,60,"Steel, plastic, glass",408,Truck,50,86,1,0,3,Green Seal Certified,No Certification,0,3
139,140,Bosch Dishwasher,Generic,60,"Steel, aluminum",70,Airplane,1100,89,5,0,4,EcoLogo Certified,Energy Star Certified,1,5
140,141,Bosch Dishwasher,Maytag,635,"Steel, plastic, copper, aluminum",207,Ship,1066,207,5,9,3,ENERGY STAR Certified,Green Seal Certified,0,3
141,142,Bosch Dishwasher,Generic,60,"Steel, plastic, copper",98,Ship,2000,105,3,1,3,No Certification,Energy Star Certified,1,5
142,143,Bosch Dishwasher,Generic,196,"Steel, plastic, copper",750,Truck,828,39,2,0,1,Energy Star Certified,No Certification,0,1
143,144,Bosch Dishwasher,Generic,1116,"Steel, plastic, glass",482,Truck,497,150,2,0,1,No Certification,No Certification,0,2
144,145,Bosch Dishwasher,Panasonic,459,"Steel, plastic, copper, aluminum",44,Train,660,177,4,11,4,Green Seal Certified,Green Seal Certified,1,3
145,146,Bosch Dishwasher,HP,373,"Steel, plastic, copper, aluminum",189,Train,1084,223,5,15,4,Energy Star Certified,Green Seal Certified,0,5
146,147,Bosch Dishwasher,Panasonic,147,"Plastic, aluminum",79,Truck,967,116,4,0,4,No Certification,Energy Star Certified,1,2
147,148,Bosch Dishwasher,Generic,82,"Plastic, aluminum",249,Truck,297,175,5,15,4,ENERGY STAR Certified,Energy Star Certified,1,5
148,149,Bosch Dishwasher,Generic,559,"Steel, plastic, glass",432,Train,325,133,4,0,1,ENERGY STAR Certified,No Certification,0,2
149,150,Bosch Dishwasher,Whirlpool,646,"Steel, plastic, copper, aluminum",336,Ship,247,232,5,1,1,EcoLogo Certified,Green Seal Certified,0,2
150,151,Bosch Dishwasher,Whirlpool,60,"Steel, plastic, glass",385,Train,781,208,5,0,5,RoHS Compliant,EcoLogo Certified,0,2
151,152,Bosch Dishwasher,Maytag,77,"Steel, plastic, copper, aluminum",305,Train,969,250,5,10,1,Cradle to Cradle Certified,Green Seal Certified,0,5
152,153,Bosch Dishwasher,Bosch,558,"Plastic, glass, copper, aluminum",341,Ship,917,246,5,9,5,ENERGY STAR Certified,EcoLogo Certified,1,5
153,154,Bosch Dishwasher,Generic,260,"Steel, plastic, glass",266,Ship,748,200,2,0,1,RoHS Compliant,Energy Star Certified,1,3
154,155,Bosch Dishwasher,Maytag,604,"Plastic, glass, copper, aluminum",375,Ship,1047,237,5,8,2,Cradle to Cradle Certified,Green Seal Certified,0,4
155,156,Bosch Dishwasher,LG,860,"Steel, plastic",471,Ship,143,240,5,13,1,Cradle to Cradle Certified,No Certification,0,5
156,157,Bosch Dishwasher,Maytag,619,"Plastic, aluminum",340,Truck,875,235,4,0,1,ENERGY STAR Certified,EcoLogo Certified,0,5
157,158,Bosch Dishwasher,Sony,60,"Plastic, aluminum",92,Ship,1374,400,5,0,4,RoHS Compliant,Green Seal Certified,1,5
158,159,Bosch Dishwasher,Maytag,365,"Steel, plastic, copper, aluminum",301,Train,934,214,2,13,1,ENERGY STAR Certified,EcoLogo Certified,0,3
159,160,Bosch Dishwasher,Generic,68,"Plastic, aluminum",101,Truck,1828,400,5,0,4,RoHS Compliant,Energy Star Certified,1,5
160,161,Bosch Dishwasher,Samsung,1500,"Steel, plastic",750,Truck,357,93,3,0,1,No Certification,No Certification,0,2
161,162,Bosch Dishwasher,Samsung,60,"Plastic, glass, copper, aluminum",74,Ship,699,400,4,0,4,RoHS Compliant,EcoLogo Certified,1,5
162,163,Bosch Dishwasher,Generic,1155,"Steel, plastic",750,Truck,50,65,1,0,1,No Certification,No Certification,0,1
163,164,Bosch Dishwasher,Generic,100,"Steel, aluminum",149,Truck,239,84,1,0,4,No Certification,No Certification,1,1
164,165,Bosch Dishwasher,Panasonic,291,"Steel, plastic, copper",352,Train,883,151,2,0,4,ENERGY STAR Certified,EcoLogo Certified,0,5
165,166,Bosch Dishwasher,LG,158,"Steel, plastic, copper, aluminum",92,Ship,436,217,4,11,5,EPEAT Certified,No Certification,0,4
166,167,Bosch Dishwasher,HP,172,"Plastic, aluminum",104,Ship,505,232,5,0,3,ENERGY STAR Certified,No Certification,1,3
167,168,Bosch Dishwasher,Generic,496,"Steel, plastic, copper, aluminum",414,Truck,553,194,2,1,1,Cradle to Cradle Certified,No Certification,0,2
168,169,Bosch Dishwasher,Sony,560,"Plastic, aluminum",200,Airplane,648,392,2,11,3,Cradle to Cradle Certified,Green Seal Certified,0,5
169,170,Bosch Dishwasher,Bosch,359,"Plastic, glass, copper, aluminum",470,Ship,835,212,2,1,1,No Certification,EcoLogo Certified,0,4
170,171,Bosch Dishwasher,Generic,507,"Steel, plastic, copper, aluminum",113,Truck,1028,97,3,0,1,Cradle to Cradle Certified,Green Seal Certified,0,3
171,172,Bosch Dishwasher,Generic,927,"Steel, plastic",338,Train,50,110,3,10,1,No Certification,No Certification,0,1
172,173,Bosch Dishwasher,LG,1082,"Steel, plastic, copper, aluminum",45,Airplane,981,10,5,0,4,No Certification,Green Seal Certified,1,5
173,174,Bosch Dishwasher,Bosch,1316,"Steel, plastic, glass",488,Truck,321,129,2,1,1,ENERGY STAR Certified,No Certification,0,3
174,175,Bosch Dishwasher,Whirlpool,419,"Plastic, glass, copper, aluminum",313,Airplane,916,236,2,14,4,ENERGY STAR Certified,Green Seal Certified,0,5
175,176,Bosch Dishwasher,Dell,349,"Plastic, glass, copper, aluminum",411,Ship,1078,76,4,10,4,ENERGY STAR Certified,Energy Star Certified,0,4
176,177,Bosch Dishwasher,HP,61,"Plastic, aluminum",642,Truck,791,53,4,1,4,RoHS Compliant,Energy Star Certified,1,5
177,178,Bosch Dishwasher,Maytag,440,"Steel, plastic, copper, aluminum",348,Train,705,240,2,12,1,No Certification,Green Seal Certified,0,3
178,179,Bosch Dishwasher,Maytag,1010,"Steel, plastic, glass",750,Truck,342,133,2,0,3,Energy Star Certified,No Certification,0,2
179,180,Bosch Dishwasher,Panasonic,709,"Steel, plastic, copper, aluminum",344,Truck,1102,254,3,7,1,No Certification,No Certification,0,2
180,181,Bosch Dishwasher,Maytag,379,"Plastic, glass, copper, aluminum",321,Ship,1149,256,5,11,5,Cradle to Cradle Certified,EcoLogo Certified,1,4
181,182,Bosch Dishwasher,Maytag,562,"Steel, plastic, copper, aluminum",349,Ship,834,400,5,14,4,Cradle to Cradle Certified,Green Seal Certified,0,5
182,183,Bosch Dishwasher,LG,60,"Steel, plastic, glass",165,Truck,929,58,4,0,4,No Certification,Energy Star Certified,0,5
183,184,Bosch Dishwasher,Panasonic,60,"Plastic, glass, copper, aluminum",35,Airplane,1310,400,5,0,5,EPEAT Certified,Energy Star Certified,1,5
184,185,Bosch Dishwasher,Bosch,557,"Steel, plastic",630,Ship,972,274,2,1,5,Green Seal Certified,EcoLogo Certified,0,1
185,186,Bosch Dishwasher,LG,421,"Steel, plastic, copper, aluminum",276,Train,1042,201,3,13,4,ENERGY STAR Certified,EcoLogo Certified,1,4
186,187,Bosch Dishwasher,Sony,177,"Plastic, glass, copper, aluminum",157,Ship,601,12,5,0,3,RoHS Compliant,Energy Star Certified,1,5
